NEOC,Area,Distance,GFA,Elapsed Period,Std_Net_Area,Lease Ratio,Market_Vacancy,NOC,YN,Period,SD,MR,CAMF,E_Ratio,RF,FO,TI,E_MR,TI,FO+TI
101433,4,381,12535,18,319,0.096,0.027,185350,0,1,650000,65000,32000,0.523333797,2,1,0,53083.33333,0,0.2
80962,4,227,13968,2,557,0.023,0.069,156586,0,1,975000,65000,23000,0.561992177,3,3,0,45500,0,0.6
80962,4,227,13968,2,557,0.068,0.069,156586,0,1,975000,65000,23000,0.561992177,3,3,0,45500,0,0.6
76694,4,438,10327,4,372,0.071,0.096,143556,0,5,520000,52000,21000,0.508511424,2.4,3,0,39000,0,0.6
168944,4,35,44486,18,605,0.016,0.08,291307,0,3,1319878.365,109989.8637,41732.97923,0.52083423,2,2,0,87991.89098,0,0.4
165425,4,35,44486,18,605,0.067,0.051,291308,0,3,1099900,109990,41733,0.52083423,2,3,0,86158.83333,0,0.6
135691,4,323,10947,3,291,0.409,0.077,262968,1,3,900000,90000,35000,0.475343428,3,2,0,64500,0,0.4
135691,4,323,10947,3,291,0.409,0.077,262968,1,3,900000,90000,35000,0.475343428,3,2,0,64500,0,0.4
123782,4,323,14091,3,322,0.16,0.066,267452,1,4,950000,95000,35000,0.486068907,4,2,0,60166.66667,0,0.4
117574,4,201,11919,7,321,0.101,0.051,226103,0,3,780000,78000,34500,0.497559918,3,0,0,58500,0,0
99721,4,941,10864,25,168,0.322,0.027,160018,1,1,430000,43000,26000,0.431201129,0,0,0,43000,0,0
84146,4,993,48424,15,479,0.009,0.051,160737,0,3,500000,50000,28000,0.485265505,2,1,0,40833.33333,0,0.2
82429,4,993,48424,15,479,0.009,0.051,160737,0,3,500000,50000,28000,0.485265505,2,2,0,40000,0,0.4
61427,4,993,48424,15,479,0.006,0.091,156615,0,4,490000,49000,27000,0.485265505,4.3,2,0,29808.33333,0,0.4
146266,4,0,99325,3,1040,0.022,0.038,358708,1,1,1290000,129000,45000,0.485074627,5,2,0,70950,0,0.4
121631,4,0,99325,3,1040,0.022,0.038,358708,1,1,1290000,129000,45000,0.485074627,5,5,700000,59000.33333,2.557984496,1.511596899
137402,4,0,99325,3,1040,0.011,0.022,358708,1,2,1290000,129000,45000,0.485074627,5,4,0,66650,0,0.8
137402,4,0,99325,3,1040,0.01,0.022,358708,1,2,1290000,129000,45000,0.485074627,5,4,0,66650,0,0.8
105424,4,0,99325,3,1040,0.011,0.022,373138,1,2,1360000,136000,45000,0.485074627,6,4,1000000,51138.2716,3.438997821,1.487799564
124871,4,0,99325,3,1040,0.022,0.022,358708,1,2,1290000,129000,45000,0.485074627,5,5,500000,60571.66667,1.827131783,1.365426357
131350,4,0,99325,3,1040,0.01,0.022,358708,1,2,1290000,129000,45000,0.485074627,5,5,100000,63714.33333,0.365426357,1.073085271
137402,4,0,99325,3,1040,0.012,0.056,358708,1,2,1290000,129000,45000,0.485074627,5,4,0,66650,0,0.8
124871,4,0,99325,3,1040,0.012,0.056,358708,1,2,1290000,129000,45000,0.485074627,5,5,500000,60571.66667,1.827131783,1.365426357
87492,4,125,7420,9,208,0.08,0.051,203272,0,3,700000,70000,33000,0.506711409,4,2,0,44333.33333,0,0.4
88791,5,451,48765,7,551,0.023,0.076,270155,1,1,1030000,103000,40000,0.529325837,5,5,500000,46999.54995,2.621621385,1.524324277
88961,5,451,48765,7,551,0.04,0.076,270155,1,1,1030000,103000,40000,0.529325837,5,5,500000,47089.16667,2.569417476,1.513883495
89538,5,451,48765,7,551,0.01,0.076,270155,1,1,1030000,103000,40000,0.529325837,5,5,500000,47394.99648,2.391264189,1.478252838
88884,5,451,48765,7,551,0.021,0.076,270155,1,1,1030000,103000,40000,0.529325837,5,5,500000,47048.60443,2.593045965,1.518609193
89490,5,451,48765,7,551,0.002,0.076,270155,1,1,1030000,103000,40000,0.529325837,5,5,500000,47369.56522,2.406078514,1.481215703
89490,5,451,48765,7,551,0.002,0.076,270155,1,1,1030000,103000,40000,0.529325837,5,5,500000,47369.56522,2.406078514,1.481215703
88876,5,451,48765,7,551,0.02,0.076,270155,1,1,1030000,103000,40000,0.529325837,5,5,500000,47044.21769,2.595601347,1.519120269
88961,5,451,48765,7,551,0.002,0.076,270155,1,1,1030000,103000,40000,0.529325837,5,5,500000,47089.16667,2.569417476,1.513883495
128260,5,0,48621,8,530,0.039,0.076,333563,0,1,1300000,130000,45000,0.524638828,3.6,6,1190000,67290,4.943076923,2.188615385
105476,5,0,27000,9,510,0.035,0.076,292689,0,1,1150000,115000,46200,0.55075594,3.6,6,1190000,58091.66667,5.691304348,2.33826087
105476,5,0,27000,9,510,0.035,0.076,292689,0,1,1150000,115000,46200,0.55075594,3.6,6,1190000,58091.66667,5.691304348,2.33826087
95190,5,32,12386,37,408,0.01,0.076,195355,0,1,800000,80000,40400,0.616313979,3,1,0,58666.66667,0,0.2
131766,5,157,10230,27,245,0.007,0.076,195999,0,1,670000,67000,31000,0.500003087,0,1,0,65883.33333,0,0.2
107023,5,451,48765,7,551,0.032,0.094,270155,1,2,1030000,103000,40000,0.529325837,5,2,0,56650,0,0.4
144544,5,0,48621,8,530,0.039,0.094,333563,1,2,1300000,130000,45000,0.524638828,4,5,0,75833.33333,0,1
100000,5,165,12810,26,271,0.094,0.094,244444,0,2,750000,75000,35000,0.45,4,4,0,45000,0,0.8
77546,5,130,11842,27,252,0.095,0.094,186913,0,2,510000,51000,33000,0.449407971,3,4,0,34850,0,0.8
97294,5,451,48765,7,551,0.082,0.094,270155,1,2,1030000,103000,40000,0.529325837,5,5,0,51500,0,1
98827,5,0,23624,8,510,0.056,0.094,290348,0,2,1100000,110000,46200,0.537975289,3.6,8,1000000,53166.66667,5,2.6
107058,5,0,48621,8,530,0.019,0.094,307259,0,2,1150000,115000,46200,0.524638828,3.6,8,1000000,56166.66667,4.695652174,2.539130435
123259,5,0,48621,8,530,0.043,0.094,335850,0,2,1300000,130000,46200,0.524638828,3.6,8,1000000,64666.66667,4.153846154,2.430769231
95494,5,451,48765,7,551,0.031,0.094,283379,1,2,1100000,110000,40000,0.529325837,5,5,500000,50547.5,2.428636364,1.485727273
95494,5,451,48765,7,551,0.007,0.094,283379,1,2,1100000,110000,40000,0.529325837,5,5,500000,50547.5,2.428636364,1.485727273
95494,5,451,48765,7,551,0.018,0.094,283379,1,2,1100000,110000,40000,0.529325837,5,5,500000,50547.5,2.428636364,1.485727273
88882,5,451,48765,7,551,0.032,0.094,270155,1,2,1030000,103000,40000,0.529325837,5,5,500000,47047.5,2.59368932,1.518737864
131519,5,0,48621,8,530,0.039,0.094,333563,0,2,1300000,130000,45000,0.524638828,4,4,1000000,69000,4.153846154,1.630769231
121223,5,451,48765,7,551,0.114,0.082,292825,1,2,1100000,110000,45000,0.529325837,4,5,0,64166.66667,0,1
90681,5,451,48765,7,551,0.022,0.082,256931,1,2,960000,96000,40000,0.529325837,5,5,0,48000,0,1
108646,5,0,48621,8,530,0.114,0.082,295441,0,2,1100000,110000,45000,0.524638828,4,4,1000000,57000,4.909090909,1.781818182
82270,5,451,48765,7,551,0.022,0.082,256931,1,2,960000,96000,40000,0.529325837,5,5,500000,43547.5,2.7828125,1.5565625
129295,5,0,48621,8,530,0.021,0.106,295441,0,2,1100000,110000,45000,0.524638828,4,3,0,67833.33333,0,0.6
108646,5,0,48621,8,530,0.021,0.106,295441,0,2,1100000,110000,45000,0.524638828,4,4,1000000,57000,4.909090909,1.781818182
95572,5,451,48765,7,551,0.015,0.121,283379,1,3,1100000,110000,40000,0.529325837,5,5,500000,50588.95136,2.406026533,1.481205307
131519,5,0,48621,8,530,0.041,0.121,304972,0,3,1150000,115000,45000,0.524638828,4,4,0,69000,0,0.8
88882,5,451,48765,7,551,0.082,0.121,270155,1,3,1030000,103000,40000,0.529325837,5,5,500000,47047.5,2.59368932,1.518737864
114364,5,0,48621,8,530,0.041,0.121,304972,0,3,1150000,115000,45000,0.524638828,4,4,1000000,60000,4.695652174,1.739130435
114364,5,0,48621,8,530,0.021,0.121,304972,0,3,1150000,115000,45000,0.524638828,4,4,1000000,60000,4.695652174,1.739130435
131519,5,0,48621,8,530,0.041,0.156,304972,0,3,1150000,115000,45000,0.524638828,4,4,0,69000,0,0.8
90681,5,451,48765,7,551,0.04,0.156,256931,1,3,960000,96000,40000,0.529325837,5,5,0,48000,0,1
114364,5,0,48621,8,530,0.041,0.156,304972,0,3,1150000,115000,45000,0.524638828,4,4,1000000,60000,4.695652174,1.739130435
82270,5,451,48765,7,551,0.04,0.156,256931,1,3,960000,96000,40000,0.529325837,5,5,500000,43547.5,2.7828125,1.5565625
79005,5,647,8228,35,365,0.078,0.245,186033,0,3,730000,73000,33000,0.569792871,4,3,0,45016.66667,0,0.6
114861,5,95,13260,22,236,0.307,0.245,244106,0,3,650000,65000,34000,0.405561341,3,2,0,46583.33333,0,0.4
112918,5,205,12233,26,246,0.417,0.245,237359,0,3,700000,70000,33000,0.433942553,3,3,0,49000,0,0.6
121221,5,314,11994,25,242,0.098,0.245,263418,0,3,710000,71000,37000,0.409994199,3,3,0,49700,0,0.6
93464,5,427,14335,3,558,0.067,0.244,196491,0,3,750000,75000,38000,0.575088651,3,2,0,53750,0,0.4
92558,5,411,14913,26,324,0.026,0.167,242333,0,4,750000,75000,33000,0.445667125,5,2,0,41250,0,0.4
98382,5,95,13260,22,236,0.044,0.145,231778,0,5,630000,63000,31000,0.405561341,4,2,0,39900,0,0.4
124206,6,344,2602,37,141,4.292,0.094,245523,1,2,960000,96000,40000,0.553919651,3,2,0,68800,0,0.4
59257,7,980,14106,3,484,0.248,0.069,138020,1,1,460000,46000,29000,0.543397994,3,3,0,32200,0,0.6
58141,7,0,20161,13,508,0.047,0.069,156702,0,1,550000,55000,29000,0.536049747,5,1,0,31166.66667,0,0.2
43668,7,1400,13961,13,599,0.078,0.088,120086,0,2,400000,40000,26000,0.549603923,4,4,0,24000,0,0.8
44791,7,1100,11518,4,471,0.021,0.118,116552,1,3,430000,43000,26000,0.592011556,4,3,0,26516.66667,0,0.6
46001,7,1100,11518,4,471,0.021,0.148,116552,1,3,430000,43000,26000,0.592011556,4,2,0,27233.33333,0,0.4
59318,7,1100,11518,4,471,0.054,0.147,116552,1,3,430000,43000,26000,0.592011556,2,1,0,35116.66667,0,0.2
48310,7,1100,11518,4,471,0.039,0.138,153269,1,4,440000,44000,46736.76763,0.592011556,4,1,0,28600,0,0.2
59458,7,1100,11518,4,471,0.071,0.138,118241,1,4,440000,44000,26000,0.592011556,2,2,0,35200,0,0.4
106785,7,0,11356,3,673,0.009,0.106,165867,1,2,730000,73000,38500,0.672226106,0,1,0,71783.33333,0,0.2
103537,7,0,11356,3,673,0.088,0.124,163635,1,3,720000,72000,38000,0.672226106,0,2,0,69600,0,0.4
87471,7,0,11356,3,673,0.011,0.147,163635,1,3,720000,72000,38000,0.672226106,2,1,0,58800,0,0.2
85685,7,0,11356,3,673,0.013,0.147,163635,1,3,720000,72000,38000,0.672226106,2,2,0,57600,0,0.4
103537,7,0,11356,3,673,0.176,0.147,163635,1,3,720000,72000,38000,0.672226106,0,2,0,69600,0,0.4
115260,7,332,3896,6,154,0.04,0.069,177500,0,1,500000,50000,27000,0.433803417,0,0,0,50000,0,0
52938,8,0,30389,3,548,0.225,0.069,151668,1,1,625000,62500,33000,0.629666043,5,3,0,33333.33333,0,0.6
46056,8,0,30389,3,548,0.057,0.124,144521,1,3,600000,60000,31000,0.629666043,5,6,0,29000,0,1.2
154437,8,0,33331,0,361,0.269,0.069,279777,1,1,900000,90000,35000,0.446784055,2,4,0,69000,0,0.8
64077,8,245,4815,16,234,0.398,0.133,123795,0,4,450000,45000,26000,0.573529412,2,1,0,36750,0,0.2
75092,1,217,4975,35,181,0.035,0.097,164091,1,1,700000,70000,28000,0.597230484,3.4,2,300000,44847.33333,2.559428571,0.911885714
78249,1,166,4974,28,167,0.063,0.097,184023,1,1,700000,70000,28000,0.532542726,4,2,300000,41670.83333,2.282142857,0.856428571
157667,1,0,28627,36,708,0.018,0.097,296667,1,1,1250000,129000,49000,0.6,3,1,0,94600,0,0.2
141599,1,440,15105,28,366,0.016,0.097,272579,1,1,1225000,122500,46500,0.620002974,3,2,0,87791.66667,0,0.4
141599,1,440,15105,28,366,0.013,0.097,272579,1,1,1225000,122500,46500,0.620002974,3,2,0,87791.66667,0,0.4
106564,1,569,13699,10,253,0.015,0.097,291056,0,1,1100000,110000,45000,0.532542726,4.6,3,680000,56749.7697,3.045580166,1.209116033
133424,1,336,18360,12,295,0.327,0.132,350237,1,2,1200000,120000,48000,0.479674797,5,3,0,64000,0,0.6
127864,1,336,18360,12,295,0.216,0.132,339814,1,2,1150000,115000,48000,0.479674797,5,3,0,61333.33333,0,0.6
123869,1,336,18360,12,295,0.108,0.132,339814,1,2,1150000,115000,48000,0.479674797,5,4,0,59416.66667,0,0.8
102903,1,336,18360,12,295,0.327,0.132,350237,1,2,1200000,120000,48000,0.479674797,5,3,1800000,49360,7.32,2.064
127864,1,336,18360,12,295,0.216,0.132,339814,1,2,1150000,115000,48000,0.479674797,5,3,0,61333.33333,0,0.6
123869,1,336,18360,12,295,0.108,0.132,339814,1,2,1150000,115000,48000,0.479674797,5,4,0,59416.66667,0,0.8
105276,1,181,36102,19,531,0.063,0.149,307349,1,2,1250000,125000,49000,0.566131587,5,5,300000,59600,1.392,1.2784
194204,1,299,31906,5,316,0.28,0.164,353281,1,2,1350000,135000,41000,0.498187594,3,2,0,96750,0,0.4
194204,1,299,31906,5,316,0.168,0.164,353281,1,2,1350000,135000,41000,0.498187594,3,2,0,96750,0,0.4
194204,1,299,31906,5,316,0.927,0.164,353281,1,2,1350000,135000,41000,0.498187594,3,2,0,96750,0,0.4
138709,1,440,15105,28,366,0.139,0.157,266128,1,3,1200000,120000,45000,0.620002974,3,2,0,86000,0,0.4
128440,1,569,13699,10,253,0.098,0.168,281668,0,3,1080000,108000,42000,0.532542726,4,2,0,68400,0,0.4
121680,1,569,13699,10,253,0.098,0.168,281668,0,3,1080000,108000,42000,0.532542726,4,4,0,64800,0,0.8
130712,1,181,36102,19,531,0.002,0.167,298341,1,3,1200000,120000,48900,0.566131587,4,3,0,74000,0,0.6
130712,1,181,36102,19,531,0.011,0.167,298341,1,3,1200000,120000,48900,0.566131587,4,3,0,74000,0,0.6
130712,1,181,36102,19,531,0.01,0.167,298341,1,3,1200000,120000,48900,0.566131587,4,3,0,74000,0,0.6
108160,1,569,13699,10,253,0.089,0.167,281668,0,3,1080000,108000,42000,0.532542726,5,3,0,57600,0,0.6
103190,1,283,12791,25,262,0.054,0.167,231035,1,3,945000,94500,39500,0.579999331,4,2,0,59850,0,0.4
60278,1,217,4975,35,181,0.426,0.169,192555,1,4,800000,80000,35000,0.597230484,6,3,0,36000,0,0.6
95008,1,384,25355,8,413,0.094,0.173,312270,1,4,1300000,130000,49130,0.573638889,5,5,1100000,54500.17395,4.846073561,1.969214712
86758,1,569,13699,10,253,0.015,0.156,262231,0,5,950000,95000,39000,0.511,6,2,0,44333.33333,0,0.4
64060,1,569,13699,10,253,0.005,0.156,262231,0,5,950000,95000,39000,0.511,6,4,950000,32734.74018,5.325427256,1.865085451
86758,1,569,13699,10,253,0.021,0.156,262231,0,5,950000,95000,39000,0.511,6,2,0,44333.33333,0,0.4
86758,1,569,13699,10,253,0.009,0.156,262231,0,5,950000,95000,39000,0.511,6,2,0,44333.33333,0,0.4
119360,1,300,10751,50,293,0.13,0.097,207693,1,1,800000,95000,40000,0.649996312,2,1,0,77583.33333,0,0.2
109853,1,568,15542,7,286,0.016,0.097,244325,1,1,930000,93000,38000,0.53617125,4,2,0,58900,0,0.4
109853,1,568,15542,7,286,0.007,0.097,244325,1,1,930000,93000,38000,0.53617125,4,2,0,58900,0,0.4
85686,1,117,12802,17,346,0.027,0.097,227283,1,1,870000,87000,38000,0.549976164,5.5,0,0,47125,0,0
131298,1,394,34282,36,1205,0.01,0.097,210070,1,1,826446,83835,34648,0.564016394,1,2,0,74054.25,0,0.4
131298,1,394,34282,36,1205,0.01,0.097,210070,1,1,826446,83835,34648,0.564016394,1,2,0,74054.25,0,0.4
118231,1,52,18155,18,393,0.017,0.097,236735,1,1,790000,79000,37000,0.49,3,1,0,57933.33333,0,0.2
118231,1,52,18155,18,393,0.006,0.097,236735,1,1,790000,79000,37000,0.49,3,1,0,57933.33333,0,0.2
118231,1,52,18155,18,393,0.006,0.097,236735,1,1,790000,79000,37000,0.49,3,1,0,57933.33333,0,0.2
109234,1,111,24936,7,383,0.065,0.132,259224,1,2,826000,82000,38000,0.462919339,4,3,0,50566.66667,0,0.6
132137,1,0,40174,50,905,0.025,0.164,302589,1,2,1230000,123000,46000,0.558512839,4,4,0,73800,0,0.8
132137,1,0,40174,50,905,0.025,0.164,302589,1,2,1230000,123000,46000,0.558512839,4,4,0,73800,0,0.8
132137,1,0,40174,50,905,0.04,0.157,302589,1,3,1230000,123000,46000,0.558512839,4,4,0,73800,0,0.8
135807,1,0,40174,50,905,0.04,0.157,302589,1,3,1230000,123000,46000,0.558512839,4,3,0,75850,0,0.6
135807,1,0,40174,50,905,0.035,0.127,302589,1,3,1230000,123000,46000,0.558512839,4,3,0,75850,0,0.6
139478,1,0,40174,50,905,0.035,0.127,302589,1,3,1230000,123000,46000,0.558512839,4,2,0,77900,0,0.4
132137,1,0,40174,50,905,0.142,0.168,302589,1,3,1230000,123000,46000,0.558512839,4,4,0,73800,0,0.8
132137,1,0,40174,50,905,0.142,0.168,302589,1,3,1230000,123000,46000,0.558512839,4,4,0,73800,0,0.8
99422,1,52,18155,18,393,0.016,0.167,234694,1,3,790000,79000,36000,0.49,4,3,0,48716.66667,0,0.6
91237,1,373,11407,28,312,0.067,0.167,235351,1,3,800000,80000,33500,0.482259412,5,2,0,44000,0,0.4
115485,1,0,40174,50,905,0.011,0.167,314406,1,3,1290000,129000,46600,0.558512839,5,5,0,64500,0,1
115485,1,0,40174,50,905,0.031,0.167,314406,1,3,1290000,129000,46600,0.558512839,5,5,0,64500,0,1
115485,1,0,40174,50,905,0.031,0.167,314406,1,3,1290000,129000,46600,0.558512839,5,5,0,64500,0,1
107428,1,0,40174,50,905,0.007,0.167,302410,1,3,1200000,120000,48900,0.558512839,5,5,0,60000,0,1
37706,1,394,34282,36,1205,0.002,0.154,58039,1,4,220000,22000,10735,0.564016394,0,2,0,21266.66667,0,0.4
84089,1,0,40174,50,905,0.187,0.169,310825,1,4,1290000,129000,44600,0.558512839,6,6,500000,46964.67082,2.15596706,1.631193412
101815,1,0,40174,50,905,0.054,0.169,300083,1,4,1230000,123000,44600,0.558512839,5,5,500000,56865.00579,2.260972784,1.452194557
131179,1,0,40174,50,905,0.022,0.169,300083,1,4,1230000,123000,44600,0.558512839,4,2,500000,73265,2.26097561,0.852195122
72124,1,117,12802,17,346,0.093,0.169,221828,1,4,850000,85000,37000,0.549976164,6,2,0,39666.66667,0,0.4
67827,1,111,24936,7,383,0.041,0.173,244103,1,4,78000,78000,35000,0.462919339,6,3,300000,31398.5,2.847307692,1.169461538
70743,1,111,24936,7,383,0.054,0.173,244103,1,4,78000,78000,35000,0.462919339,6,3,300000,32748.5,1.808846154,0.961769231
69353,1,217,10432,2,330,0.015,0.097,212305,1,4,840000,84000,36000,0.565223476,6,2,0,39200,0,0.4
111909,1,142,11571,1,289,0.8,0.132,284482,1,2,1080000,108000,43000,0.530789067,5,2,0,59400,0,0.4
122082,1,142,11571,1,289,0.093,0.132,284482,1,2,1080000,108000,43000,0.530789067,4,4,0,64800,0,0.8
151047,1,89,12100,23,230,0.157,0.149,282951,0,2,937000,94000,41000,0.477113725,2,4,0,72066.66667,0,0.8
157614,1,89,12100,23,230,0.138,0.149,282951,0,2,937000,94000,41000,0.477113725,2,2,0,75200,0,0.4
154331,1,89,12100,23,230,0.157,0.149,282951,0,2,937000,94000,41000,0.477113725,2,3,0,73633.33333,0,0.6
154331,1,89,12100,23,230,0.138,0.149,282951,0,2,937000,94000,41000,0.477113725,2,3,0,73633.33333,0,0.6
115541,1,86,12073,50,378,0.041,0.167,221476,1,3,1030150,103115,38540,0.639593909,3,2,0,73899.08333,0,0.4
85829,1,89,12100,23,230,0.06,0.167,274568,0,3,910000,91000,40000,0.477113725,6,3,0,40950,0,0.6
115179,1,272,17998,18,415,0.041,0.167,266277,1,3,975000,97500,41500,0.5220121,4,3,0,60125,0,0.6
178171,1,0,28047,17,482,0.03,0.026,318018,1,2,1110000,111000,47500,0.49839876,2,2,0,88800,0,0.4
186096,1,0,28047,17,482,0.068,0.026,299760,1,2,1043000,105000,44400,0.49839876,1,2,0,92750,0,0.4
178171,1,0,28047,17,482,0.03,0.026,318018,1,2,1110000,111000,47500,0.49839876,2,2,0,88800,0,0.4
178171,1,0,28047,17,482,0.1,0.051,318018,1,3,1110000,111000,47500,0.49839876,2,2,0,88800,0,0.4
169209,1,0,28047,17,482,0.1,0.051,316012,1,3,1100000,110000,47500,0.49839876,2,4,0,84333.33333,0,0.8
88581,1,202,30247,9,470,0.013,0.097,305737,1,1,1190000,119000,48000,0.546221117,4.5,4,2000000,48385,9.104201681,2.620840336
137978,1,202,30247,9,470,0.033,0.163,305737,1,2,1190000,119000,48000,0.546221117,4,2,0,75366.66667,0,0.4
85470,1,272,11273,51,491,0.035,0.106,184088,0,2,95000,95000,38000,0.722479023,3.2,5,0,61750,0,1
110334,1,202,30247,9,470,0.084,0.168,290542,1,3,1130000,113000,45700,0.546221117,5,3,0,60266.66667,0,0.6
110334,1,202,30247,9,470,0.079,0.168,290542,1,3,1130000,113000,45700,0.546221117,5,3,0,60266.66667,0,0.6
110334,1,202,30247,9,470,0.028,0.168,290542,1,3,1130000,113000,45700,0.546221117,5,3,0,60266.66667,0,0.6
127551,1,0,19897,9,482,0.126,0.168,262706,1,3,1080000,108000,44000,0.578593325,3,4,0,73800,0,0.8
134500,1,202,30247,9,470,0.076,0.168,298414,1,3,1160000,116000,47000,0.546221117,4,2,0,73466.66667,0,0.4
127551,1,0,19897,9,482,0.126,0.168,262706,1,3,1081000,108000,44000,0.578593325,3,4,0,73800,0,0.8
99690,1,0,19897,9,482,0.066,0.167,263484,1,3,1081500,108150,44300,0.578593325,5,3,0,57680,0,0.6
99690,1,0,19897,9,482,0.027,0.167,263484,1,3,1081500,108150,44300,0.578593325,5,3,0,57680,0,0.6
110334,1,202,30247,9,470,0.065,0.167,290542,1,3,1130000,113000,45700,0.546221117,5,3,0,60266.66667,0,0.6
123099,1,171,9342,4,216,0.042,0.167,272623,1,3,1068000,106800,43000,0.549476565,4,2,0,67640,0,0.4
214313,1,226,50835,10,375,0.003,0.097,354111,1,1,1300000,130000,49000,0.505491455,2,0,0,108333.3333,0,0
147865,1,147,16847,10,325,0.073,0.149,288075,0,2,1060000,106000,42000,0.51375524,3,2,0,75966.66667,0,0.4
144427,1,147,16847,10,325,0.073,0.149,288075,0,2,1060000,106000,42000,0.51375524,3,3,0,74200,0,0.6
110556,1,193,12869,9,305,0.17,0.127,246225,1,3,950000,95000,39000,0.544217246,4,2,0,60166.66667,0,0.4
110556,1,193,12869,9,305,0.124,0.127,246225,1,3,950000,95000,39000,0.544217246,4,2,0,60166.66667,0,0.4
104738,1,193,12869,9,305,0.17,0.127,246225,1,3,955000,95000,39000,0.544217246,4,4,0,57000,0,0.8
104738,1,193,12869,9,305,0.124,0.127,246225,1,3,955000,95000,39000,0.544217246,4,4,0,57000,0,0.8
73117,1,193,12869,9,305,0.17,0.168,248246,1,3,955000,95500,39600,0.544217246,6,5,0,39791.66667,0,1
124832,1,147,16847,10,325,0.007,0.168,282236,0,3,1040000,104000,41000,0.51375524,4,3,0,64133.33333,0,0.6
124762,1,0,16732,31,405,0.031,0.167,270181,0,3,1449000,144000,53500,0.730992682,4,2,0,91200,0,0.4
124832,1,147,16847,10,325,0.069,0.167,282236,0,3,1040000,104000,41000,0.51375524,4,3,0,64133.33333,0,0.6
160257,1,0,42795,2,496,0.029,0.097,372176,1,1,1620000,162000,48000,0.564249494,4,4,1000000,90424.93225,2.509284352,1.30185687
160154,1,0,42795,2,496,0.02,0.097,372176,1,1,1620000,162000,48000,0.564249494,4,4,1000000,90366.66667,2.530864198,1.30617284
62435,1,0,23285,33,427,0.029,0.097,214841,1,1,900000,90000,44200,0.624648917,6,4,0,39000,0,0.8
143554,1,0,42795,2,496,0.28,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,5,0,81000,0,1
143554,1,0,42795,2,496,0.081,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,5,0,81000,0,1
153124,1,0,42795,2,496,0.062,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,3,0,86400,0,0.6
143554,1,0,42795,2,496,0.041,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,5,0,81000,0,1
160335,1,0,53100,6,623,0.019,0.132,369855,0,2,1601000,160100,52200,0.574009217,4,3,700000,92034,2.508806996,1.101761399
86449,1,0,23285,33,427,0.032,0.132,214841,1,2,900000,90000,44200,0.624648917,4,4,0,54000,0,0.8
86449,1,0,23285,33,427,0.022,0.132,214841,1,2,900000,90000,44200,0.624648917,4,4,0,54000,0,0.8
131459,1,0,42795,2,496,0.28,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,3,1300000,74175.66667,4.527530864,1.505506173
136244,1,0,42795,2,496,0.081,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,2,1300000,76875.66667,4.527530864,1.305506173
121889,1,0,42795,2,496,0.062,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,5,1300000,68775.66667,4.527530864,1.905506173
136244,1,0,42795,2,496,0.041,0.132,372176,1,2,1620000,162000,48000,0.564249494,5,2,1300000,76875.66667,4.527530864,1.305506173
157909,1,0,42795,2,496,0.04,0.163,372176,1,2,1620000,162000,48000,0.564249494,5,2,0,89100,0,0.4
131459,1,0,42795,2,496,0.04,0.163,372176,1,2,1620000,162000,48000,0.564249494,5,3,1300000,74175.66667,4.527530864,1.505506173
148339,1,0,42795,2,496,0.143,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,4,0,83700,0,0.8
157909,1,0,42795,2,496,0.052,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,2,0,89100,0,0.4
153124,1,0,42795,2,496,0.024,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,3,0,86400,0,0.6
131673,1,0,42795,2,496,0.143,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,4,1000000,74296.66667,3.482716049,1.49654321
131673,1,0,42795,2,496,0.052,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,4,1000000,74296.66667,3.482716049,1.49654321
131673,1,0,42795,2,496,0.024,0.164,372176,1,2,1620000,162000,48000,0.564249494,5,4,1000000,74296.66667,3.482716049,1.49654321
161147,1,0,53100,6,623,0.081,0.127,346684,0,3,1500000,150000,49000,0.574009217,4,3,0,92500,0,0.6
123767,1,0,18347,21,420,0.356,0.127,288011,1,3,1060000,106000,42000,0.513870041,4,4,0,63600,0,0.8
165503,1,0,53100,6,623,0.081,0.127,346684,0,3,1509000,150000,49000,0.574009217,4,2,0,95000,0,0.4
67351,1,0,18347,21,420,0.043,0.127,284969,1,3,2545084.745,102937,43500,0.513870041,4,7,2579970.009,34609.42746,12.82682954,3.965365908
130643,1,0,18347,21,420,0.356,0.127,288011,1,3,1060000,106000,42000,0.513870041,4,2,0,67133.33333,0,0.4
83015,1,195,5458,3,211,0.023,0.168,193993,1,3,750000,75000,36000,0.572185006,4,2,0,47500,0,0.4
83015,1,195,5458,3,211,0.028,0.168,193993,1,3,750000,75000,36000,0.572185006,4,2,0,47500,0,0.4
83015,1,195,5458,3,211,0.093,0.168,193993,1,3,750000,75000,36000,0.572185006,4,2,0,47500,0,0.4
